"Copyright © 2020-present Koala Store, Inc. All rights reserved.", "Copyright © 2020-present Koala Store, Todos os direitos reversados"
"Koala Product", "Produto Koala"
"Size", "Tamanho"
"Dimensions", "Dimensões"
"S", "P"
"L", "G"
"XG", "GG"
"Enter your destination to get a shipping estimate.", "Insira o seu destino para obter uma estimativa de envio."
"Frenet Shipping Gateway", "Frenet"
"Allow remote shopping assistance", "Permitir assistência de compra remota"
"If you created this account using Amazon Pay, you might not know your site password.", "Se você criou esta conta usando o Amazon Pay, pode não saber a senha do seu site."
"In order to reset your password, please Sign Out and click on “"Forgot Your Password?"” from the Sign In page", "Para redefinir sua senha, saia e clique em “"Esqueceu sua senha?"” na página de login"